station_id,station_name
1,Goyetteview
2,Lake Caseyfurt
3,West Rosaliamouth
4,Harrisborough
5,Fredrickmouth
6,West Arthur
7,Schillerberg
8,Torietown
9,Windlerton
10,West Herbmouth
11,New Danyell
12,Conniestad
13,New Joleneburgh
14,Wolfland
15,West Lonimouth
16,Port Dustinborough
17,Lake Travis
18,Nienowborough
19,Hackettchester
20,Deweyshire
21,North Donte
22,Port Ericfort
23,Port Corlissville
24,East Monty
25,South Lela
26,Donnellyborough
27,Davisland
28,Marcoburgh
29,Lake Mitchell
30,Reichelmouth
31,Jonathanshire
32,East Stacyton
33,North Reiko
34,Haagville
35,North Jarrettberg
36,DuBuqueview
37,Lake Angelo
38,Lueburgh
39,Sonnyborough
40,West Germaine
41,Shannonside
42,West Barbieton
43,Sarimouth
44,Kevinfort
45,South Jefferson
46,Braunfurt
47,West Chad
48,North Lamar
49,Carinaside
50,Binsmouth
51,North Royce
52,Lake Leighannchester
53,Greggchester
54,New Teraland
55,Kalaport
56,Tammyport
57,DuBuqueborough
58,South Beatris
59,Mitchelltown
60,Bartonville
61,Port Cora
62,North Elmo
63,Weissnatbury
64,North Dewey
65,Lake Delindatown
66,South Antioneshire
67,Naderhaven
68,Port Kaitlin
69,Port Codyton
70,Billyview
71,Lake Veniceshire
72,Robelland
73,Floydfort
74,North Landon
75,East Dorthea
76,Elishaview
77,Eleanoremouth
78,Keeblerchester
79,Hoegershire
80,North Mosesborough
81,Shalandaborough
82,Sidfort
83,Scottieview
84,Port Burton
85,Denesikville
86,South Lorrie
87,East Faustobury
88,Port Jeffry
89,Dwightside
90,Hermistonview
91,Port Harriettestad
92,Wilfredofort
93,North Logantown
94,South Kraig
95,Katherineborough
96,Johniebury
97,South Moises
98,East Georgetta
99,New Willardmouth
100,Luciushaven
101,Port Lynn
102,Tamiton
103,Osinskiside
104,Homenickfort
105,South Changfort
106,South Leonshire
107,East Charleytown
108,New Erikbury
109,East Jerica
110,Port Antione
111,Russelstad
112,New Merylview
113,Port Brent
114,Elliottborough
115,Nikolausmouth
116,Silasport
117,Parkerview
118,Port Lyndafort
119,Kaseyburgh
120,Hickleborough
121,North Kathi
122,West Monroe
123,South Peterside
124,West Willaside
125,Beattyberg
126,New Aureliofurt
127,New Isaac
128,Theodorehaven
129,East Nicolport
130,Milomouth
131,Port Marcenehaven
132,New Austin
133,Swiftbury
134,Marisafurt
135,South Rosetta
136,West Sol
137,Coleville
138,East Maud
139,Gordonburgh
140,West Mike
141,Daleville
142,West Hipolitoton
143,Santosland
144,West Maidaview
145,Parkermouth
146,New Lorenville
147,Gleasonview
148,Murraystad
149,New Meryl
150,West Wilfred
151,East Kentmouth
152,North Miesha
153,West Neilton
154,Port Lamontport
155,Yundtstad
156,Daughertyfort
157,Lake George
158,Port Todstad
159,West Ken
160,Gerholdbury
161,Port Hugo
162,South Corliss
163,North Joanhaven
164,Port Ionebury
165,Smithton
166,Vaughnborough
167,West Dexter
168,East Shelby
169,East Santiago
170,North Joeberg
171,New Robert
172,South Dinostad
173,South Ozie
174,East Sandytown
175,North Bretland
176,Noellaburgh
177,Lizzieberg
178,East Billie
179,Ritchiebury
180,Risaville
181,Denesikview
182,East Chante
183,Lake Glady
184,North Stacie
185,East Morrisview
186,Reneashire
187,West Phylissshire
188,Edenmouth
189,Milofurt
190,Millsberg
191,Millsshire
192,Homenickmouth
193,Manuelland
194,Hoppefort
195,Lake Deanfurt
196,New Jordonton
197,South Piperchester
198,East Aaron
199,Schmidtmouth
200,Jonport
201,South Omegafort
202,Tristanborough
203,Naderbury
204,Schaefertown
205,East Sylviaberg
206,Valentineview
207,Lake Arthurburgh
208,North Mitsueborough
209,Schummland
210,Derickmouth
211,West Rudolph
212,Alhaven
213,Abernathyfurt
214,Lake Eliasview
215,Hershelborough
216,Mosciskitown
217,Donteshire
218,Donovanmouth
219,Shanahanfurt
220,South Trevorville
221,Donnhaven
222,Phylisberg
223,Lake Amos
224,Colliershire
225,North Genaroberg
226,East Florencio
227,Kertzmannberg
228,Lake Floyd
229,Dooleyfort
230,Armandobury
231,East Antoniastad
232,New Ellsworthchester
233,Lake Deb
234,Alfredmouth
235,Donovanfurt
236,South Karlyberg
237,Oberbrunnertown
238,Rebbecaport
239,South Kennithfurt
240,Roobmouth
241,Calvinville
242,East Lane
243,Grahamburgh
244,Miguelmouth
245,New Colin
246,Ramonitaside
247,Dillonmouth
248,Port Chester
249,Drucillaside
250,South Mao
251,Port Alejandrashire
252,Robenaport
253,West Donnland
254,West Cecilemouth
255,South Todberg
256,Lake Jackeline
257,Oberbrunnermouth
258,Cliffburgh
259,Dellton
260,East Margarettmouth
261,Clintonchester
262,South Sheldonfurt
263,Lake Clement
264,Teressashire
265,Heathport
266,Heathcoteside
267,West Leonila
268,Ameliaport
269,North Paul
270,North Michaeleshire
271,Warrenbury
272,North Saturninaville
273,South Tamika
274,North Stacey
275,West Magnoliaview
276,Oneidaside
277,Kevenbury
278,Cruickshankburgh
279,Port Bernardatown
280,Lynchview
281,East Oleta
282,Port Guadalupe
283,Sporerbury
284,South Titus
285,Rhiannonstad
286,Archiemouth
287,North Yan
288,New Loritaview
289,East Emely
290,South Christiamouth
291,Beckermouth
292,Kuhictown
293,South Samual
294,Walkerton
295,New Jessieville
296,Kuphalberg
297,New Retaberg
298,Josephinaborough
299,Dachberg
300,Javiermouth
301,North Nettie
302,Boganbury
303,New Jay
304,East Raeleneberg
305,Rufusfurt
306,Port Kathrynmouth
307,East Tessamouth
308,New Delila
309,North Winter
310,Lake Maximoland
311,East Lelia
312,East Ezequiel
313,Schillerview
314,Port Trentonmouth
315,Nienowburgh
316,South Deidre
317,Shanahanburgh
318,Mitchellhaven
319,Matthewland
320,Waylonbury
321,Port Darrick
322,East Adriana
323,New Jorgeview
324,Reingerburgh
325,Port Juan
326,Nicholshire
327,East Vidahaven
328,Stephenhaven
329,Rebekahview
330,Port Suzettehaven
331,Botsfordmouth
332,South Janisview
333,South Porterport
334,Robertsfurt
335,North Unland
336,Port Vaughn
337,West Charity
338,Lake Malcolm
339,North Nidia
340,Heathcotetown
341,Lynchshire
342,Farrellville
343,South Archie
344,Lake Jerold
345,Adrianview
346,South Clarita
347,Gayleneborough
348,Thompsonbury
349,Lake Terry
350,Miguelton
351,Hermanntown
352,West Sharonda
353,New Tod
354,Randolphborough
355,Jacobichester
356,East Kyokoborough
357,Cruzside
358,New Era
359,Port Thomasland
360,West Curtis
361,East Dustin
362,New Antonburgh
363,North Dominicabury
364,East Benny
365,Breitenbergfurt
366,Carmeliafurt
367,Lake Carter
368,Muellertown
369,Israelshire
370,Maragretborough
371,Bayerburgh
372,Kelliton
373,East Pabloside
374,Lake Jorge
375,Andrewstad
376,Harrystad
377,New Leshaven
378,North Waltraud
379,Donnellystad
380,Kuvalisstad
381,South Charleen
382,Justaside
383,South Harmonyton
384,Vonton
385,Reedside
386,West Shawn
387,East Phillipside
388,Port Joyefort
389,Krisshire
390,Naderview
391,Geoffreyfurt
392,North Isaias
393,Cruickshankborough
394,North Maisha
395,New Cristophermouth
396,Marshallton
397,Krajciktown
398,Geoffreyburgh
399,Port Walker
400,West Minna
401,Kautzerfort
402,Port Hyun
403,Skilesstad
404,Weberton
405,South Jenetteburgh
406,Raynorside
407,Twylachester
408,North Josephinamouth
409,Adamsmouth
410,Nicolettebury
411,North Reed
412,Effiechester
413,Albertport
414,Port Roycemouth
415,Lake Luzport
416,North Kennithville
417,Fayborough
418,West Melisaview
419,Murazikview
420,Jacobiton
421,Andresmouth
422,Danehaven
423,Tedberg
424,North Noel
425,Denesikchester
426,Hintzland
427,South Tracyfort
428,Oswaldohaven
429,Germaineville
430,South Boycetown
431,New Wileychester
432,Linomouth
433,Mackhaven
434,New Derrickstad
435,Marisamouth
436,East Halburgh
437,South Scotty
438,Rutherfordfort
439,West Huldatown
440,West Darronhaven
441,New Rolfside
442,Ramonstad
443,Israelburgh
444,Port Stewartfort
445,Gislasontown
446,Mirnaland
447,Prohaskaburgh
448,Williamsmouth
449,Justinastad
450,East Keith
451,Hudsonview
452,Cronahaven
453,East Eltonburgh
454,Bettyfort
455,West Mickeystad
456,Schaeferborough
457,Parkertown
458,Tashinashire
459,North Lorenzo
460,Lake Hermaside
461,Russville
462,Lemkefurt
463,Hagenestown
464,Fatimahton
465,New Deanneville
466,West Divinaborough
467,New Freeda
468,East Kassie
469,Brittstad
470,South Roseanne
471,Latoniabury
472,North Harris
473,Port Estelle
474,North Vincenzo
475,South Marion
476,West Guillermo
477,Port Inezberg
478,North Darwinshire
479,Leschville
480,Weissnatmouth
481,East Ronnystad
482,Port Alejandrinaview
483,West Kyla
484,Steuberview
485,Kossfurt
486,West Montyland
487,Littelside
488,Port Deanton
489,South Mechelle
490,Ezraborough
491,Ferminshire
492,Bethannport
493,Joyceview
494,Hilperttown
495,South Herminia
496,West Kenyaview
497,Lake Tristanfort
498,Boscohaven
499,Bufordstad
500,Conroyton
501,Lockmantown
502,North Willardmouth
503,New Tommy
504,Hettingermouth
505,Lake Alverastad
506,West Elden
507,North Zaneburgh
508,South Dottybury
509,East Georgeann
510,West Reneafurt
511,Reillyburgh
512,Michalmouth
513,Jewellmouth
514,Mayerfurt
515,Ferminburgh
516,Stammside
517,Gusikowskitown
518,Krisburgh
519,Port Olliebury
520,East Anthonyhaven
521,East Lacy
522,New Aundreachester
523,Port Sethmouth
524,North Rhebamouth
525,South Emmett
526,Niamouth
527,New Mariochester
528,Hammesmouth
529,Ezequielchester
530,Kundeside
531,Lake Germanton
532,Annbury
533,Iolachester
534,Lake Boris
535,New Lorenzomouth
536,North Cathyfort
537,Mosciskiland
538,Jenkinshaven
539,Watersport
540,Brycehaven
541,East Andrewside
542,Gilbertborough
543,South Shondraton
544,Alexisville
545,North Keila
546,Nolanville
547,Hermannmouth
548,Larsonfort
549,Port Josue
550,Schmelerfort
551,Lake Reinaldoberg
552,South Georgiannberg
553,Stepaniefurt
554,Reichelton
555,Darioborough
556,South Eldonville
557,Altenwerthland
558,Romagueratown
559,South Ginoland
560,Lynnettefort
561,West Charissa
562,North Roseline
563,Strosintown
564,New Rockyton
565,North Brettbury
566,Millsmouth
567,Lake Danamouth
568,East Shay
569,New Julioborough
570,Elliottton
571,New Cedrickmouth
572,Richmouth
573,Carmanbury
574,Greenmouth
575,Thompsonchester
576,South Lazaroland
577,Krishaven
578,Nedland
579,Verliehaven
580,North Iraida
581,West Alaina
582,Linwoodland
583,Boehmton
584,West Sandyfort
585,Eugeniostad
586,Lake Leslistad
587,North Anthonyshire
588,South Gerardo
589,Marilouville
590,New Misty
591,Fadelton
592,Port Elayne
593,Hamillland
594,New Mariel
595,East Joeport
596,East Pedro
597,Rhettmouth
598,New Olympia
599,North Donnie
600,New Donny
601,East Ignacioburgh
602,New Erinside
603,Lake Nickole
604,Donnettaburgh
605,New Matildeport
606,New Kyoko
607,Doriaport
608,West Keshamouth
609,West Trevorfurt
610,East Sherman
611,West Trinidad
612,Port Carmanchester
613,Verlenemouth
614,Cruickshankchester
615,Lake Xavier
616,Koritown
617,Teresiamouth
618,North Winonamouth
619,North Marianaberg
620,East Lateshaburgh
621,Loriannview
622,Welchmouth
623,New Amalia
624,Beerport
625,Port Andera
626,Irachester
627,East Jessiefort
628,Bashirianside
629,South Boycemouth
630,Eugeniochester
631,Cormierville
632,Trishland
633,Caitlynmouth
634,North Mairamouth
635,Hintztown
636,Port Eugene
637,East Lisha
638,Marylandtown
639,Lake Paport
640,South Rivka
641,Santosfort
642,New Shontaside
643,Kirstinborough
644,Coditon
645,South Rudolphstad
646,Jammietown
647,South Delfinachester
648,Kautzerberg
649,New Shaquitaburgh
650,Funkshire
651,Unport
652,North Josephina
653,Lake Laurenaland
654,South Julietta
655,West Cory
656,Taylorberg
657,Hickleshire
658,North Ruebenshire
659,Doylechester
660,South Nathanial
661,D'Amoremouth
662,Dietrichshire
663,West Eddyfurt
664,West Roxane
665,Altheachester
666,West Jerryport
667,Lake Beryl
668,Port Kizzieshire
669,West Vita
670,New Verdaview
671,West Stanstad
672,East Antwanhaven
673,Lake Fairy
674,West Chandaborough
675,Fletaview
676,Port Del
677,Gregoriotown
678,Anthonyborough
679,Waelchichester
680,North Nestorberg
681,Hageneshaven
682,South Gregorybury
683,South Octavio
684,North Willetta
685,Gerlachton
686,Nolanfort
687,Michelstad
688,Julianport
689,North Dagny
690,Evetteside
691,West Tobyhaven
692,Diannaton
693,Cornellport
694,McCulloughview
695,Smithside
696,New Fabiola
697,Gustavoburgh
698,Fadelview
699,MacGyvershire
700,Lake Jackfurt
701,Lavonaland
702,Jastfort
703,North Hilarioland
704,East Marcos
705,Lake Tayna
706,Armstrongborough
707,South Jefferey
708,North Micheline
709,East Coryville
710,Landonton
711,Dallaschester
712,North Dorcasfort
713,Kovacekborough
714,East Humbertoborough
715,Mrazchester
716,Welchhaven
717,Haywoodton
718,South Efrainbury
719,North Telma
720,Bednarton
721,Whitefurt
722,Runolfsdottirtown
723,Lake Pauletteview
724,Arielstad
725,Barrettfurt
726,Lucienmouth
727,Robertsville
728,West Dominickville
729,West Lonnieland
730,New Karine
731,Kenaberg
732,Lake Tarshaland
733,South Ernesto
734,West Manda
735,Estellshire
736,Legrosport
737,Considinemouth
738,Port Nannettefort
739,East Paul
740,West Augustineberg
741,Gleasonbury
742,Allynmouth
743,East Kandifort
744,Rosalindaborough
745,Dickinsonview
746,New Marla
747,Sawaynview
748,New Wernerfort
749,Hintzhaven
750,Micahborough
751,South Winstonshire
752,Macejkovicland
753,West Shaunda
754,West Dewayne
755,Reingerfurt
756,Willburgh
757,North Broderick
758,East Bart
759,Johnathonberg
760,Lefflerside
761,South Howardland
762,Chasemouth
763,Sporerland
764,Port Eddyberg
765,North Benny
766,South Ceciliahaven
767,North Lupehaven
768,West Margarito
769,Lake Ira
770,East Wilda
771,Simonisland
772,North Princeport
773,West Fernehaven
774,Kareemstad
775,Ronaldview
776,Bufordview
777,Port Benny
778,Huelfurt
779,Lake Marhtamouth
780,New Torieburgh
781,Lorenzostad
782,Wunschbury
783,Lake Edgardomouth
784,New Jamisonmouth
785,Wehnerstad
786,Webertown
787,South Pat
788,O'Keefetown
789,East Ray
790,Elsabury
791,North Rosanne
792,Lake Warrenport
793,Lake Brendan
794,Schinnerfort
795,North Robt
796,Pedroberg
797,West Angelineland
798,Wisokyshire
799,Kirbyshire
800,Lake Rolando
801,North Nedland
802,Seymourbury
803,East Vallieview
804,Nitzschetown
805,Marcelostad
806,Dominiquefurt
807,New Emile
808,Greenholthaven
809,Hilpertbury
810,Herzogton
811,West Tiny
812,Leschland
813,New Deandre
814,West Mauro
815,Kristown
816,Grantchester
817,Vickymouth
818,Bogisichbury
819,Greenfelderview
820,East Aureaville
821,North Londastad
822,South Jeffmouth
823,Torpview
824,Bookerside
825,Lake Marcus
826,East Verlaton
827,North Bryanville
828,Linnborough
829,Port Fatimaville
830,West Kimikoport
831,Wolffstad
832,South Lilystad
833,Ismaelstad
834,Port Andree
835,East Clarence
836,North Connietown
837,Cathernshire
838,North Rob
839,North Joe
840,Adamouth
841,Reynaldohaven
842,Chadwickport
843,Abelborough
844,Hiramhaven
845,McLaughlinton
846,Toryport
847,Velmaborough
848,New Lanette
849,East Staciamouth
850,Jameymouth
851,East Tiffanyview
852,Mickeyfurt
853,North Kaleigh
854,South Leviville
855,North Madelaine
856,Bashirianport
857,Philipberg
858,New Dominic
859,South Cecilia
860,New Bernice
861,Lake Lindamouth
862,Shantellville
863,Spencerport
864,Miview
865,Ellanburgh
866,New Mikeville
867,Howeland
868,Angelinamouth
869,Lake Elijah
870,Zulauffurt
871,Eliside
872,West Lester
873,Keelington
874,Skilesport
875,Hagenesfort
876,Pastychester
877,South Calebland
878,Port Francie
879,Colehaven
880,Lake Roland
881,West Keenachester
882,Francenebury
883,Port Darrylchester
884,South Jammie
885,Hirthechester
886,Mayertmouth
887,Jenkinsland
888,Jacobiview
889,South Mariah
890,Estebanfurt
891,Patrickburgh
892,New Desmondborough
893,North Towandaport
894,West Lonnie
895,Port Mitchelland
896,Wunschborough
897,Brunildafurt
898,North Melbamouth
899,Aldoview
900,New Rachelville
901,South Sethmouth
902,Nienowbury
903,New Spencer
904,Shonnaborough
905,North Darnellbury
906,Marcmouth
907,Tillmanbury
908,Port Jamisonside
909,Muibury
910,Port Paige
911,Rosaleeport
912,East Muoifurt
913,Port Alina
914,Port Simona
915,Homerside
916,South Ling
917,Wernerside
918,Shawnchester
919,New Ariel
920,East Danyelburgh
921,Port Caryl
922,Rutherfordshire
923,Baileymouth
924,New Demetriusfurt
925,West Augustshire
926,Schinnerchester
927,South Billieburgh
928,Williamsonborough
929,Schillermouth
930,New Elfriede
931,East Johnettefort
932,West Delbert
933,Lake Songland
934,West Lenardstad
