trip_id,trip_no,station_id_depart,station_id_arrive,depart_datetime,arrive_datetime,cost_paid,class_id,train_id
1,5231555168,1,1534,2020-06-30 04:09,2020-06-30 22:09,8.00,2,1
2,1200038621,2,1535,2021-09-27 04:31,2021-09-27 16:31,32.00,1,1
3,6176412964,3,1536,2021-12-30 12:02,2021-12-31 05:02,41.00,1,2
4,7321290900,4,1537,2020-02-21 20:12,2020-02-22 11:12,5.00,3,2
5,3875280652,5,1538,2020-03-06 01:09,2020-03-06 11:09,94.00,3,3
6,7350623081,6,1539,2021-03-22 04:52,2021-03-22 23:52,76.00,1,4
7,7299967511,7,1540,2020-05-19 11:07,2020-05-19 23:07,43.00,1,5
8,1514262887,8,1541,2020-02-12 10:03,2020-02-13 02:03,47.00,1,5
9,3504325289,9,1542,2021-11-27 05:51,2021-11-28 03:51,26.00,2,2
10,2684343379,10,1543,2020-01-07 06:09,2020-01-08 06:09,13.00,1,4
11,2612193860,11,1544,2020-05-20 22:28,2020-05-21 21:28,32.00,1,4
12,8592679724,12,1545,2022-05-06 09:31,2022-05-06 10:31,61.00,1,6
13,1520695068,13,1546,2020-10-28 19:13,2020-10-29 07:13,61.00,2,1
14,7218128470,14,1547,2020-05-15 12:39,2020-05-16 06:39,95.00,2,3
15,1520731716,15,1548,2020-11-23 15:38,2020-11-24 08:38,26.00,3,7
16,1562551244,16,1549,2021-05-06 09:23,2021-05-06 16:23,52.00,1,7
17,4283056580,17,1550,2021-01-21 00:41,2021-01-21 04:41,22.00,3,8
18,1983531353,18,1551,2020-08-16 14:53,2020-08-17 08:53,42.00,1,8
19,8104098870,19,1552,2020-11-03 08:41,2020-11-03 09:41,56.00,1,9
20,1073714134,20,1553,2020-12-01 22:08,2020-12-02 16:08,5.00,3,10
21,6548562368,21,1554,2021-12-07 09:59,2021-12-07 22:59,84.00,3,4
22,6730355714,22,1555,2021-11-13 04:19,2021-11-13 05:19,56.00,3,1
23,1887046990,23,1556,2020-05-07 05:50,2020-05-07 12:50,5.00,2,1
24,5045041610,24,1557,2021-03-29 18:20,2021-03-30 11:20,38.00,1,6
25,2566776911,25,1558,2022-05-09 12:20,2022-05-10 04:20,80.00,1,11
26,4451956303,26,1559,2021-10-19 07:00,2021-10-20 05:00,22.00,2,12
27,9807971824,27,1560,2020-09-24 02:17,2020-09-24 16:17,22.00,1,12
28,4455799201,28,1561,2020-07-07 01:58,2020-07-07 06:58,44.00,1,13
29,8718020965,29,1562,2020-04-22 21:50,2020-04-23 16:50,42.00,2,14
30,5392341410,30,1563,2020-08-11 13:10,2020-08-11 19:10,95.00,2,15
31,8967473757,31,1564,2021-10-17 18:00,2021-10-18 03:00,57.00,3,15
32,2780252367,32,1565,2021-12-04 01:43,2021-12-04 12:43,27.00,3,8
33,6070131497,33,1566,2020-04-05 01:21,2020-04-05 06:21,62.00,1,9
34,8603822722,34,1567,2020-03-06 07:11,2020-03-07 07:11,56.00,1,7
35,2771276199,35,1568,2020-12-16 04:52,2020-12-16 09:52,23.00,2,3
36,9774118236,36,1569,2021-10-02 01:24,2021-10-02 23:24,82.00,3,12
37,4792673898,37,1570,2020-10-24 08:17,2020-10-25 04:17,74.00,3,16
38,1155821519,38,1571,2022-04-30 06:44,2022-04-30 17:44,16.00,1,9
39,6047911545,39,1572,2022-03-03 13:06,2022-03-03 23:06,62.00,2,9
40,1614938595,40,1573,2021-05-19 04:03,2021-05-19 09:03,97.00,3,9
41,5098153137,41,1574,2021-08-03 04:07,2021-08-03 21:07,23.00,2,17
42,9153752024,42,1575,2020-06-30 23:40,2020-07-01 05:40,82.00,3,6
43,9351169600,43,1576,2020-10-10 07:37,2020-10-10 12:37,58.00,3,11
44,5090628365,44,1577,2021-01-18 21:03,2021-01-19 14:03,34.00,3,11
45,5031800874,45,1578,2021-06-09 22:29,2021-06-10 10:29,86.00,2,15
46,5020352188,46,1579,2020-12-05 07:12,2020-12-06 02:12,58.00,2,5
47,2986962491,47,1580,2022-01-12 10:28,2022-01-13 02:28,17.00,2,5
48,2856792332,48,1581,2021-05-21 04:42,2021-05-22 03:42,8.00,2,1
49,3424196394,49,1582,2020-10-11 23:18,2020-10-12 16:18,87.00,2,1
50,6432146231,50,1583,2020-04-07 04:10,2020-04-08 01:10,59.00,3,17
51,9508630976,51,1584,2020-06-29 19:45,2020-06-30 03:45,9.00,2,17
52,2736502283,52,1585,2021-10-01 15:48,2021-10-02 15:48,96.00,2,13
53,3910797802,53,1586,2020-11-28 22:43,2020-11-29 06:43,1.00,2,9
54,3224085490,54,1587,2021-09-27 15:28,2021-09-27 18:28,91.00,1,9
55,6311248685,55,1588,2022-03-21 10:07,2022-03-21 12:07,10.00,3,7
56,7048553476,56,1589,2022-01-03 15:31,2022-01-04 00:31,84.00,2,12
57,8965973797,57,1590,2021-07-11 17:34,2021-07-12 06:34,64.00,3,12
58,1011980358,58,1591,2021-01-20 02:14,2021-01-21 02:14,78.00,1,15
59,8809759502,59,1592,2020-05-26 03:00,2020-05-26 16:00,79.00,2,1
60,1854520529,60,1593,2020-11-18 07:20,2020-11-19 06:20,96.00,2,4
61,6233208740,61,1594,2021-05-10 10:47,2021-05-10 19:47,61.00,3,4
62,6777694970,62,1595,2020-07-15 05:39,2020-07-15 22:39,60.00,3,18
63,8365600455,63,1596,2021-02-11 17:32,2021-02-12 08:32,6.00,1,18
64,8510335389,64,1597,2021-04-02 12:44,2021-04-02 19:44,53.00,1,19
65,5507238309,65,1598,2020-11-11 19:20,2020-11-12 04:20,2.00,3,5
66,3036569017,66,1599,2020-09-06 11:55,2020-09-07 11:55,47.00,2,17
67,9737569714,67,1600,2021-09-13 01:12,2021-09-13 04:12,24.00,3,18
68,1146753986,68,1601,2020-03-24 22:05,2020-03-25 13:05,35.00,3,8
69,5550787594,69,1602,2022-02-18 16:56,2022-02-18 21:56,26.00,2,8
70,9931155697,70,1603,2020-03-21 05:05,2020-03-21 07:05,66.00,1,17
71,9039706080,71,1604,2020-10-20 14:18,2020-10-20 15:18,99.00,1,3
72,2522981274,72,1605,2021-07-07 09:08,2021-07-07 22:08,87.00,3,3
73,4648089662,73,1606,2021-06-06 22:35,2021-06-06 23:35,15.00,1,11
74,5456954154,74,1607,2021-07-17 11:55,2021-07-17 12:55,53.00,2,16
75,9861841899,75,1608,2021-08-22 10:56,2021-08-23 02:56,22.00,2,16
76,1872155965,76,1609,2020-11-06 04:00,2020-11-06 22:00,73.00,1,7
77,4201059409,77,1610,2021-11-08 01:20,2021-11-08 10:20,9.00,1,19
78,3544695463,78,1611,2020-08-16 05:19,2020-08-16 20:19,18.00,2,2
79,2828244574,79,1612,2022-02-16 10:30,2022-02-16 14:30,58.00,3,2
80,4885646417,80,1613,2020-05-20 18:38,2020-05-21 01:38,61.00,3,12
81,2483967023,81,1614,2020-03-06 05:57,2020-03-06 06:57,49.00,3,12
82,7000680197,82,1615,2021-02-28 08:30,2021-02-28 19:30,12.00,2,18
83,1450263890,83,1616,2021-07-07 14:36,2021-07-07 18:36,65.00,2,18
84,8421291274,84,1617,2020-10-01 11:59,2020-10-02 04:59,32.00,1,15
85,2769727569,85,1618,2021-09-21 06:16,2021-09-21 18:16,84.00,1,15
86,8756154045,86,1619,2021-06-23 14:31,2021-06-23 21:31,12.00,3,9
87,7309525307,87,1620,2022-01-13 16:00,2022-01-13 17:00,99.00,3,9
88,2366769241,88,1621,2022-01-29 01:22,2022-01-29 14:22,75.00,2,12
89,3692220609,89,1622,2021-09-19 16:33,2021-09-20 11:33,45.00,1,12
90,3632822215,90,1623,2021-09-27 23:14,2021-09-28 19:14,35.00,3,9
91,6146232029,91,1624,2021-01-08 15:01,2021-01-09 10:01,62.00,1,5
92,7515740511,92,1625,2021-12-12 05:42,2021-12-12 20:42,83.00,3,5
93,5349181519,93,1626,2021-12-11 08:34,2021-12-11 20:34,76.00,1,3
94,7203443790,94,1627,2020-10-29 06:24,2020-10-29 14:24,86.00,3,3
95,4534663104,95,1628,2021-02-25 14:57,2021-02-26 08:57,38.00,3,18
96,9726803735,96,1629,2022-03-24 04:53,2022-03-25 03:53,62.00,2,8
97,7739158143,97,1630,2021-04-03 08:40,2021-04-03 16:40,32.00,2,8
98,4011743379,98,1631,2020-01-05 08:19,2020-01-05 15:19,7.00,2,20
99,3877025649,99,1632,2021-01-27 16:45,2021-01-28 15:45,97.00,2,9
100,1551169099,100,1633,2022-04-21 11:52,2022-04-22 03:52,85.00,2,7
101,6655403837,101,1634,2022-03-05 18:18,2022-03-06 15:18,74.00,1,21
102,7913348963,102,1635,2020-04-01 02:57,2020-04-02 01:57,47.00,1,21
103,6542071568,103,1636,2021-11-18 11:55,2021-11-19 03:55,42.00,3,21
104,2717944466,104,1637,2021-12-27 19:00,2021-12-27 20:00,28.00,3,9
105,5896179140,105,1638,2022-01-28 02:13,2022-01-28 16:13,54.00,2,6
106,6313620900,106,1639,2022-01-25 05:38,2022-01-26 05:38,35.00,1,6
107,6503256625,107,1640,2022-01-03 06:00,2022-01-03 08:00,76.00,3,7
108,3909658764,108,1641,2020-11-28 03:15,2020-11-28 18:15,28.00,1,17
109,8065371613,109,1642,2021-06-11 23:28,2021-06-12 01:28,48.00,2,13
110,6647399497,110,1643,2021-06-16 13:18,2021-06-17 05:18,95.00,2,14
111,4200212986,111,1644,2021-12-19 02:24,2021-12-19 09:24,18.00,1,14
112,2931952431,112,1645,2020-04-09 01:42,2020-04-09 18:42,76.00,2,20
113,9653482409,113,1646,2021-08-23 03:50,2021-08-24 02:50,29.00,3,17
114,5150693745,114,1647,2021-03-14 08:33,2021-03-15 07:33,78.00,2,17
115,1456032088,115,1648,2021-02-09 19:18,2021-02-10 07:18,46.00,2,16
116,5160114105,116,1649,2022-02-09 13:51,2022-02-09 16:51,29.00,1,16
117,9688727350,117,1650,2020-09-09 17:52,2020-09-10 01:52,36.00,2,11
118,3991090537,118,1651,2020-12-03 14:51,2020-12-03 21:51,73.00,2,11
119,5392250561,119,1652,2020-01-18 05:00,2020-01-19 01:00,2.00,3,6
120,4499493249,120,1653,2021-05-01 18:13,2021-05-02 07:13,35.00,3,6
121,8722626616,121,1654,2021-09-29 00:02,2021-09-29 21:02,22.00,1,1
122,4778830124,122,1655,2021-06-07 17:35,2021-06-08 15:35,58.00,1,9
123,9238540586,123,1656,2021-12-26 00:27,2021-12-26 10:27,78.00,1,9
124,8506492674,124,1657,2022-04-16 19:51,2022-04-17 16:51,56.00,2,20
125,4293492059,125,1658,2021-01-02 08:14,2021-01-02 09:14,75.00,1,4
126,6907325848,126,1659,2021-06-21 16:26,2021-06-22 16:26,69.00,2,4
127,7731549903,127,1660,2022-03-22 09:05,2022-03-23 07:05,0.00,2,3
128,7614135561,128,1661,2021-03-07 16:02,2021-03-08 04:02,69.00,3,12
129,7160174378,129,1662,2021-08-13 05:05,2021-08-14 02:05,11.00,3,12
130,8852377552,130,1663,2020-03-30 10:21,2020-03-30 18:21,99.00,1,17
131,3289901115,131,1664,2021-09-18 23:31,2021-09-19 16:31,8.00,3,9
132,6666909707,132,1213,2021-02-02 03:18,2021-02-02 15:18,37.00,1,9
133,3400055806,133,1665,2021-03-04 04:10,2021-03-04 08:10,63.00,3,20
134,9210018968,134,1666,2020-07-08 04:17,2020-07-08 14:17,20.00,3,18
135,8352131316,135,1667,2022-03-03 20:03,2022-03-03 23:03,22.00,1,18
136,3407963153,136,1668,2021-01-14 02:24,2021-01-14 16:24,2.00,3,14
137,6499403928,137,1669,2021-09-12 06:15,2021-09-12 11:15,50.00,1,14
138,2901074687,138,1670,2021-01-18 21:49,2021-01-19 12:49,88.00,2,13
